Mês / Ano de Referência;Entidade;UC/CNPJ;Total Repassado
jul/16;APEX-BR;05.507.500/0001-38;35.764.920
jul/16;ABDI;07.200.966/0001-11;5.127.220
ago/16;FNDE;153173 / 15253;1.507.691.739
ago/16;INCRA;373001 / 37201;107.173.149
ago/16;SENAI;33.564.543/0001-90;120.585.915
ago/16;SESI;33.641.358/0001-52;170.353.966
ago/16;SENAC;33.469.172/0001-68;201.108.906
ago/16;SESC;33.469.164/0001-11;364.193.406
ago/16;SEBRAE;00.330.854/0001-45;245.916.784
ago/16;EMBRATUR;35.842.428/0001-66;0
ago/16;DPC;852001 / 00001;11.942.655
ago/16;ANAC;122002 / 00001;17.078.560
ago/16;SENAR;37.138.245/0001-90;68.972.852
ago/16;SEST;73.471.989/0001-95;37.749.731
ago/16;SENAT;73.471.963/0001-47;23.883.954
ago/16;SESCOOP;03.087.543/0001-86;25.354.097
ago/16;SDR;420013 / 00001;18.900.864
ago/16;APEX-BR;05.507.500/0001-38;35.741.610
ago/16;ABDI;07.200.966/0001-11;5.123.894
set/16;FNDE;153173 / 15253;1.532.494.539
set/16;INCRA;373001 / 37201;109.284.187
set/16;SENAI;33.564.543/0001-90;119.636.151
set/16;SESI;33.641.358/0001-52;171.178.904
set/16;SENAC;33.469.172/0001-68;203.456.829
set/16;SESC;33.469.164/0001-11;370.276.641
set/16;SEBRAE;00.330.854/0001-45;249.118.519
set/16;EMBRATUR;35.842.428/0001-66;0
set/16;DPC;852001 / 00001;12.385.763
set/16;ANAC;122002 / 00001;17.953.196
set/16;SENAR;37.138.245/0001-90;62.038.443
set/16;SEST;73.471.989/0001-95;39.205.389
set/16;SENAT;73.471.963/0001-47;24.699.514
set/16;SESCOOP;03.087.543/0001-86;25.300.940
set/16;SDR;420013 / 00001;19.274.012
set/16;APEX-BR;05.507.500/0001-38;36.207.965
set/16;ABDI;07.200.966/0001-11;5.190.837
out/16;FNDE;153173 / 15253;1.508.696.077
out/16;INCRA;373001 / 37201;107.424.270
out/16;SENAI;33.564.543/0001-90;117.700.984
out/16;SESI;33.641.358/0001-52;167.921.658
out/16;SENAC;33.469.172/0001-68;200.823.518
out/16;SESC;33.469.164/0001-11;362.100.502
out/16;SEBRAE;00.330.854/0001-45;245.199.472
out/16;EMBRATUR;35.842.428/0001-66;0
out/16;DPC;852001 / 00001;11.980.558
out/16;ANAC;122002 / 00001;17.670.036
out/16;SENAR;37.138.245/0001-90;62.350.157
out/16;SEST;73.471.989/0001-95;38.498.980
out/16;SENAT;73.471.963/0001-47;24.257.440
out/16;SESCOOP;03.087.543/0001-86;25.172.112
out/16;SDR;420013 / 00001;18.942.562
out/16;APEX-BR;05.507.500/0001-38;35.633.854
out/16;ABDI;07.200.966/0001-11;5.108.221
nov/16;FNDE;153173 / 15253;1.513.447.335
nov/16;INCRA;373001 / 37201;108.428.690
nov/16;SENAI;33.564.543/0001-90;115.509.710
nov/16;SESI;33.641.358/0001-52;164.748.587
nov/16;SENAC;33.469.172/0001-68;204.228.711
nov/16;SESC;33.469.164/0001-11;368.469.675
nov/16;SEBRAE;00.330.854/0001-45;246.228.294
nov/16;EMBRATUR;35.842.428/0001-66;0
nov/16;DPC;852001 / 00001;12.927.844
nov/16;ANAC;122002 / 00001;18.599.839
nov/16;SENAR;37.138.245/0001-90;60.921.075
nov/16;SEST;73.471.989/0001-95;38.350.276
nov/16;SENAT;73.471.963/0001-47;24.704.920
nov/16;SESCOOP;03.087.543/0001-86;25.281.760
nov/16;SDR;420013 / 00001;19.122.502
nov/16;APEX-BR;05.507.500/0001-38;35.888.775
nov/16;ABDI;07.200.966/0001-11;5.859.461
dez/16;FNDE;153173 / 15253;1.546.232.107
dez/16;INCRA;373001 / 37201;110.405.058
dez/16;SENAI;33.564.543/0001-90;116.685.279
dez/16;SESI;33.641.358/0001-52;166.083.645
dez/16;SENAC;33.469.172/0001-68;205.439.362
dez/16;SESC;33.469.164/0001-11;370.261.203
dez/16;SEBRAE;00.330.854/0001-45;247.453.900
dez/16;EMBRATUR;35.842.428/0001-66;0
dez/16;DPC;852001 / 00001;11.659.882
dez/16;ANAC;122002 / 00001;18.790.089
dez/16;SENAR;37.138.245/0001-90;57.157.293
dez/16;SEST;73.471.989/0001-95;38.242.492
dez/16;SENAT;73.471.963/0001-47;24.056.099
dez/16;SESCOOP;03.087.543/0001-86;26.006.277
dez/16;SDR;420013 / 00001;19.478.451
dez/16;APEX-BR;05.507.500/0001-38;36.076.902
dez/16;ABDI;07.200.966/0001-11;5.890.174
jan/17;FNDE;153173 / 15253;2.719.560.019
jan/17;INCRA;373001 / 37201;192.614.501
jan/17;SENAI;33.564.543/0001-90;195.510.573
jan/17;SESI;33.641.358/0001-52;278.280.064
jan/17;SENAC;33.469.172/0001-68;362.480.165
jan/17;SESC;33.469.164/0001-11;659.533.185
jan/17;SEBRAE;00.330.854/0001-45;436.906.000
jan/17;EMBRATUR;35.842.428/0001-66;0
jan/17;DPC;852001 / 00001;20.281.534
jan/17;ANAC;122002 / 00001;32.072.735
jan/17;SENAR;37.138.245/0001-90;54.514.766
jan/17;SEST;73.471.989/0001-95;61.283.907
jan/17;SENAT;73.471.963/0001-47;39.525.947
jan/17;SESCOOP;03.087.543/0001-86;48.653.186
jan/17;SDR;420013 / 00001;33.978.648
jan/17;APEX-BR;05.507.500/0001-38;63.692.770
jan/17;ABDI;07.200.966/0001-11;10.398.892
fev/17;FNDE;153173 / 15253;1.565.756.519
fev/17;INCRA;373001 / 37201;111.163.163
fev/17;SENAI;33.564.543/0001-90;118.256.846
fev/17;SESI;33.641.358/0001-52;167.938.770
fev/17;SENAC;33.469.172/0001-68;213.183.588
fev/17;SESC;33.469.164/0001-11;386.724.661
fev/17;SEBRAE;00.330.854/0001-45;255.305.221
fev/17;EMBRATUR;35.842.428/0001-66;0
fev/17;DPC;852001 / 00001;12.550.428
fev/17;ANAC;122002 / 00001;17.528.165
fev/17;SENAR;37.138.245/0001-90;49.945.186
fev/17;SEST;73.471.989/0001-95;37.692.320
fev/17;SENAT;73.471.963/0001-47;23.651.156
fev/17;SESCOOP;03.087.543/0001-86;27.300.094
fev/17;SDR;420013 / 00001;19.603.138
fev/17;APEX-BR;05.507.500/0001-38;36.988.184
fev/17;ABDI;07.200.966/0001-11;6.038.874
mar/17;FNDE;153173 / 15253;1.548.248.317
mar/17;INCRA;373001 / 37201;109.309.496
mar/17;SENAI;33.564.543/0001-90;112.145.703
mar/17;SESI;33.641.358/0001-52;160.025.709
mar/17;SENAC;33.469.172/0001-68;208.339.070
mar/17;SESC;33.469.164/0001-11;379.113.965
mar/17;SEBRAE;00.330.854/0001-45;249.394.900
mar/17;EMBRATUR;35.842.428/0001-66;0
mar/17;DPC;852001 / 00001;11.795.997
mar/17;ANAC;122002 / 00001;18.305.695
mar/17;SENAR;37.138.245/0001-90;48.325.796
mar/17;SEST;73.471.989/0001-95;35.984.706
mar/17;SENAT;73.471.963/0001-47;22.577.514
mar/17;SESCOOP;03.087.543/0001-86;26.526.808
mar/17;SDR;420013 / 00001;19.238.563
mar/17;APEX-BR;05.507.500/0001-38;36.298.898
mar/17;ABDI;07.200.966/0001-11;5.926.422
abr/17;FNDE;153173 / 15253;1.560.713.935
abr/17;INCRA;373001 / 37201;110.767.847
abr/17;SENAI;33.564.543/0001-90;113.425.258
abr/17;SESI;33.641.358/0001-52;161.952.385
abr/17;SENAC;33.469.172/0001-68;210.355.750
abr/17;SESC;33.469.164/0001-11;379.964.945
abr/17;SEBRAE;00.330.854/0001-45;250.714.994
abr/17;EMBRATUR;35.842.428/0001-66;0
abr/17;DPC;852001 / 00001;12.709.295
abr/17;ANAC;122002 / 00001;17.685.865
abr/17;SENAR;37.138.245/0001-90;64.552.019
abr/17;SEST;73.471.989/0001-95;37.524.795
abr/17;SENAT;73.471.963/0001-47;23.668.078
abr/17;SESCOOP;03.087.543/0001-86;26.601.654
abr/17;SDR;420013 / 00001;19.534.962
abr/17;APEX-BR;05.507.500/0001-38;36.542.570
abr/17;ABDI;07.200.966/0001-11;5.966.232
mai/17;FNDE;153173 / 15253;1.535.979.498
mai/17;INCRA;373001 / 37201;109.261.366
mai/17;SENAI;33.564.543/0001-90;112.748.383
mai/17;SESI;33.641.358/0001-52;160.104.982
mai/17;SENAC;33.469.172/0001-68;206.526.797
mai/17;SESC;33.469.164/0001-11;372.910.277
mai/17;SEBRAE;00.330.854/0001-45;248.935.171
mai/17;EMBRATUR;35.842.428/0001-66;0
mai/17;DPC;852001 / 00001;12.216.827
mai/17;ANAC;122002 / 00001;17.277.805
mai/17;SENAR;37.138.245/0001-90;83.955.034
mai/17;SEST;73.471.989/0001-95;38.292.139
mai/17;SENAT;73.471.963/0001-47;24.113.506
mai/17;SESCOOP;03.087.543/0001-86;26.730.534
mai/17;SDR;420013 / 00001;19.268.703
mai/17;APEX-BR;05.507.500/0001-38;36.282.503
mai/17;ABDI;07.200.966/0001-11;5.923.773
jun/17;FNDE;153173 / 15253;1.568.881.986
jun/17;INCRA;373001 / 37201;112.028.525
jun/17;SENAI;33.564.543/0001-90;114.823.853
jun/17;SESI;33.641.358/0001-52;163.229.045
jun/17;SENAC;33.469.172/0001-68;214.256.135
